,0
0,G#m
1,G#m
2,G#m
3,G#m
4,G#m
5,G#m
6,G#m
7,G#m
8,G#m
9,G#m
10,G#m
11,G#m
12,G#m
13,G#m
14,G#m
15,G#m
16,G#m
17,G#m
18,G#m
19,G#m
20,G#m
21,G#m
22,G#m
23,G#m
24,G#m
25,G#m
26,G#m
27,G#m
28,G#m
29,G#m
30,G#m
31,G#m
32,G#m
33,G#m
34,G#m
35,G#m
36,G#m
37,G#m
38,G#m
39,G#m
40,G#m
41,G#m
42,G#m
43,G#m
44,G#m
45,G#m
46,G#m
47,G#m
48,B-m
49,B-m
50,B-m
51,B-m
52,B-m
53,B-m
54,B-m
55,B-m
56,B-m
57,B-m
58,B-m
59,B-m
60,B-m
61,B-m
62,B-m
63,B-m
64,B-m
65,B-m
66,B-m
67,B-m
68,B-m
69,B-m
70,B-m
71,B-m
72,E-7
73,E-7
74,E-7
75,E-7
76,E-7
77,E-7
78,E-7
79,E-7
80,E-7
81,E-7
82,E-7
83,E-7
84,E-7
85,E-7
86,E-7
87,E-7
88,E-7
89,E-7
90,E-7
91,E-7
92,E-7
93,E-7
94,E-7
95,E-7
96,G#m
97,G#m
98,G#m
99,G#m
100,G#m
101,G#m
102,G#m
103,G#m
104,G#m
105,G#m
106,G#m
107,G#m
108,G#m
109,G#m
110,G#m
111,G#m
112,G#m
113,G#m
114,G#m
115,G#m
116,G#m
117,G#m
118,G#m
119,G#m
120,G#m
121,G#m
122,G#m
123,G#m
124,G#m
125,G#m
126,G#m
127,G#m
128,G#m
129,G#m
130,G#m
131,G#m
132,G#m
133,G#m
134,G#m
135,G#m
136,G#m
137,G#m
138,G#m
139,G#m
140,G#m
141,G#m
142,G#m
143,G#m
144,B-m
145,B-m
146,B-m
147,B-m
148,B-m
149,B-m
150,B-m
151,B-m
152,B-m
153,B-m
154,B-m
155,B-m
156,B-m
157,B-m
158,B-m
159,B-m
160,B-m
161,B-m
162,B-m
163,B-m
164,B-m
165,B-m
166,B-m
167,B-m
168,E-7
169,E-7
170,E-7
171,E-7
172,E-7
173,E-7
174,E-7
175,E-7
176,E-7
177,E-7
178,E-7
179,E-7
180,E-7
181,E-7
182,E-7
183,E-7
184,E-7
185,E-7
186,E-7
187,E-7
188,E-7
189,E-7
190,E-7
191,E-7
192,G#m
193,G#m
194,G#m
195,G#m
196,G#m
197,G#m
198,G#m
199,G#m
200,G#m
201,G#m
202,G#m
203,G#m
204,G#m
205,G#m
206,G#m
207,G#m
208,G#m
209,G#m
210,G#m
211,G#m
212,G#m
213,G#m
214,G#m
215,G#m
216,G#m
217,G#m
218,G#m
219,G#m
220,G#m
221,G#m
222,G#m
223,G#m
224,G#m
225,G#m
226,G#m
227,G#m
228,G#m
229,G#m
230,G#m
231,G#m
232,G#m
233,G#m
234,G#m
235,G#m
236,G#m
237,G#m
238,G#m
239,G#m
240,E-7
241,E-7
242,E-7
243,E-7
244,E-7
245,E-7
246,E-7
247,E-7
248,E-7
249,E-7
250,E-7
251,E-7
252,E-7
253,E-7
254,E-7
255,E-7
256,E-7
257,E-7
258,E-7
259,E-7
260,E-7
261,E-7
262,E-7
263,E-7
264,E-7
265,E-7
266,E-7
267,E-7
268,E-7
269,E-7
270,E-7
271,E-7
272,E-7
273,E-7
274,E-7
275,E-7
276,E-7
277,E-7
278,E-7
279,E-7
280,E-7
281,E-7
282,E-7
283,E-7
284,E-7
285,E-7
286,E-7
287,E-7
288,G#m
289,G#m
290,G#m
291,G#m
292,G#m
293,G#m
294,G#m
295,G#m
296,G#m
297,G#m
298,G#m
299,G#m
300,G#m
301,G#m
302,G#m
303,G#m
304,G#m
305,G#m
306,G#m
307,G#m
308,G#m
309,G#m
310,G#m
311,G#m
312,G#m
313,G#m
314,G#m
315,G#m
316,G#m
317,G#m
318,G#m
319,G#m
320,G#m
321,G#m
322,G#m
323,G#m
324,G#m
325,G#m
326,G#m
327,G#m
328,G#m
329,G#m
330,G#m
331,G#m
332,G#m
333,G#m
334,G#m
335,G#m
336,E-7
337,E-7
338,E-7
339,E-7
340,E-7
341,E-7
342,E-7
343,E-7
344,E-7
345,E-7
346,E-7
347,E-7
348,E-7
349,E-7
350,E-7
351,E-7
352,E-7
353,E-7
354,E-7
355,E-7
356,E-7
